	Terms
ACSM2B	R-HSA-1430728,R-HSA-156580,R-HSA-156587,R-HSA-159424,R-HSA-177128,R-HSA-177135,R-HSA-177162,R-HSA-211859
ACSM3	R-HSA-1430728,R-HSA-556833,R-HSA-77286,R-HSA-77289,R-HSA-77352,R-HSA-8978868
ACSM4	R-HSA-1430728,R-HSA-156580,R-HSA-156587,R-HSA-159424,R-HSA-177128,R-HSA-211859
ACSM5	R-HSA-1430728,R-HSA-156580,R-HSA-156587,R-HSA-159424,R-HSA-177128,R-HSA-211859
ACSM6	R-HSA-1430728,R-HSA-556833,R-HSA-77286,R-HSA-77289,R-HSA-77352,R-HSA-8978868
ACSS1	R-HSA-1430728,R-HSA-211859,R-HSA-211945,R-HSA-71384
ACSS2	R-HSA-1430728,R-HSA-1592230,R-HSA-1852241,R-HSA-211859,R-HSA-211945,R-HSA-2151201,R-HSA-71384
ACSS3	R-HSA-1430728,R-HSA-556833,R-HSA-74182,R-HSA-77111
ACTA1	R-HSA-390522,R-HSA-397014
ACTA2	R-HSA-157118,R-HSA-162582,R-HSA-397014,R-HSA-445355,R-HSA-9013694,R-HSA-9013695
ACTB	R-HSA-109582,R-HSA-1266738,R-HSA-1266738,R-HSA-1445148,R-HSA-1500931,R-HSA-1500931,R-HSA-157858,R-HSA-162582,R-HSA-162582,R-HSA-1643685,R-HSA-1643685,R-HSA-168249,R-HSA-168249,R-HSA-168256,R-HSA-168256,R-HSA-190828,R-HSA-190873,R-HSA-194138,R-HSA-194315,R-HSA-194315,R-HSA-195258,R-HSA-195258,R-HSA-196025,R-HSA-199991,R-HSA-199991,R-HSA-2029480,R-HSA-2029480,R-HSA-2029482,R-HSA-2029482,R-HSA-212165,R-HSA-2682334,R-HSA-3214847,R-HSA-3247509,R-HSA-373760,R-HSA-373760,R-HSA-389957,R-HSA-389958,R-HSA-390450,R-HSA-390466,R-HSA-391251,R-HSA-392499,R-HSA-392499,R-HSA-3928662,R-HSA-3928665,R-HSA-418990,R-HSA-418990,R-HSA-421270,R-HSA-421270,R-HSA-422475,R-HSA-422475,R-HSA-437239,R-HSA-437239,R-HSA-4420097,R-HSA-445095,R-HSA-445095,R-HSA-446353,R-HSA-446728,R-HSA-446728,R-HSA-4839726,R-HSA-5250913,R-HSA-5250924,R-HSA-5626467,R-HSA-5653656,R-HSA-5653656,R-HSA-5663202,R-HSA-5663205,R-HSA-5663205,R-HSA-5663213,R-HSA-5663213,R-HSA-5663220,R-HSA-5663220,R-HSA-5673001,R-HSA-5674135,R-HSA-5683057,R-HSA-5684996,R-HSA-5688426,R-HSA-5689603,R-HSA-5696394,R-HSA-5696398,R-HSA-5696399,R-HSA-597592,R-HSA-6802946,R-HSA-6802948,R-HSA-6802949,R-HSA-6802952,R-HSA-6802955,R-HSA-6802957,R-HSA-73894,R-HSA-74160,R-HSA-8856828,R-HSA-9006934,R-HSA-9012999,R-HSA-9035034,R-HSA-9649948,R-HSA-9656223,R-HSA-9658195,R-HSA-9658195,R-HSA-9659379,R-HSA-9662360,R-HSA-9662361,R-HSA-9664407,R-HSA-9664407,R-HSA-9664417,R-HSA-9664417,R-HSA-9664422,R-HSA-9664422,R-HSA-9675108,R-HSA-9675108,R-HSA-9709957,R-HSA-9716542,R-HSA-9716542,R-HSA-983231
ACTC1	R-HSA-162582,R-HSA-194315,R-HSA-390522,R-HSA-397014,R-HSA-8980692,R-HSA-9012999,R-HSA-9013026,R-HSA-9716542
