	Terms
NDUFS6	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFS7	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFS8	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFV1	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFV2	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFV3	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFA1	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFA2	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFA3	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFA4	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFA4L2	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFA5	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFA6	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFA7	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFA8	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFA9	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFA10	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFAB1	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFA11	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFA12	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFA13	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFB1	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFB2	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFB3	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFB4	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFB5	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFB6	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFB7	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFB8	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFB9	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFB10	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFB11	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFC1	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFC2	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
NDUFC2-KCTD14	hsa00190,hsa04714,hsa04723,hsa04932,hsa05010,hsa05012,hsa05014,hsa05016,hsa05020,hsa05022,hsa05208,hsa05415
